StargazeAddress,CosmosAddress,Balance,IsStaking
stars1huw5h0exqu5mlahqumetlvsyzr4p4a7k9e7n5x,cosmos1huw5h0exqu5mlahqumetlvsyzr4p4a7k39fwlh,0,No
stars14c2dcjumq02n2w6njz0yek633pckm3slgznk49,cosmos14c2dcjumq02n2w6njz0yek633pckm3slu7yt75,0.114676,Yes
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,cosmos1wv9zw2j23gw72tuf5hq03spe0xtrrkl73576k8,0.089591,Yes
stars126tfcp59w789c5hv6dj7gujqveknud84u2877r,cosmos126tfcp59w789c5hv6dj7gujqveknud84gksr4j,0.002172,No
stars1xkzyx8jj2ra3dg6yacqgj6uhz6al6kdjnf6mct,cosmos1xkzyx8jj2ra3dg6yacqgj6uhz6al6kdj84dxn6,0.016146,Yes
stars1v93edk9h85m55gfz7tt444huukahxka3ksyln67x9una7yaq9asstfjvgp,cosmos1v93edk9h85m55gfz7tt444huukahxka3ksyln67x9una7yaq9assawkt8e,0,No
stars1n9xvdlrhpxj9366xp6f9wal080mrklzhc69wc6,cosmos1n9xvdlrhpxj9366xp6f9wal080mrklzhvxjnnt,0.00925,Yes
stars1e7u6zyqfu43ak3xfm209pk05c5hsplfa29ly35,cosmos1e7u6zyqfu43ak3xfm209pk05c5hsplfa7ege69,0.024616,Yes
stars1q9kkh0wj56mckpu0m2skfkws8leeg2du7zta36,cosmos1q9kkh0wj56mckpu0m2skfkws8leeg2du27uq6t,0.002554,Yes
stars1ejcw9zzmcppzcuahawtpddkuul9cngcxvwlj7p,cosmos1ejcw9zzmcppzcuahawtpddkuul9cngcxcjg04s,58.906514,No
stars192guner3ahpkfegtptmw2dfxscdqvg3fkanf9n,cosmos192guner3ahpkfegtptmw2dfxscdqvg3fzpy5wz,0.043265,Yes
stars16j9m4s9hvz2ns2z6fk2s35egca5l6rw9ewhmxw,cosmos16j9m4s9hvz2ns2z6fk2s35egca5l6rw9djqxdl,0.062836,Yes
stars15sz727cdzsgepw2aqc5slq0qj43ladju4jp86f,cosmos15sz727cdzsgepw2aqc5slq0qj43ladjupwk63c,0.320391,Yes
